#GC Content (%)	Sample
1.0	1.794715717204865E-5
2.0	1.9947747602114994E-5
3.0	2.3064946644311386E-5
4.0	2.708939018386345E-5
5.0	2.8834091140316657E-5
6.0	2.932260740812355E-5
7.0	2.9880911714188583E-5
8.0	2.8647989704961647E-5
9.0	3.1090571043996136E-5
10.0	3.3335419607965926E-5
11.0	4.152388276358631E-5
12.0	5.488829209001787E-5
13.0	5.315522247327435E-5
14.0	4.485044592055709E-5
15.0	4.51295980735896E-5
16.0	4.899120285720603E-5
17.0	5.441140716192066E-5
18.0	6.460046074760738E-5
19.0	7.565023347181103E-5
20.0	9.323681911285934E-5
21.0	1.3236464589624992E-4
22.0	2.1905302075255493E-4
23.0	2.73336483177669E-4
24.0	4.593216051355808E-4
25.0	0.0010741309595102713
26.0	0.0017885278444793107
27.0	0.0037542358867562998
28.0	0.006666758244081314
29.0	0.010814354408479554
30.0	0.01610513679624448
31.0	0.02222073237684252
32.0	0.028634741609032306
33.0	0.03469193623294801
34.0	0.04048192408971303
35.0	0.04616123974914038
36.0	0.05247556840001815
37.0	0.059023070518056026
38.0	0.0628017554808821
39.0	0.06846797425179633
40.0	0.06494638842191322
41.0	0.057632206546911244
42.0	0.051081145238922196
43.0	0.04584134301310483
44.0	0.04209879662275677
45.0	0.0385404092340322
46.0	0.03489477516614525
47.0	0.031172606882968565
48.0	0.027333369165613866
49.0	0.023572456889864205
50.0	0.019925729476044547
51.0	0.018183715359064285
52.0	0.012319135720741026
53.0	0.011472001987005025
54.0	0.00965460515736627
55.0	0.008212528397479726
56.0	0.007099816284152419
57.0	0.006069186535156382
58.0	0.005150973684454478
59.0	0.004419501992791617
60.0	0.003801866222867472
61.0	0.003270093002680245
62.0	0.0028151564126152164
63.0	0.0023887398675183427
64.0	0.0019911806762412053
65.0	0.0016496729110250551
66.0	0.0013735914316758996
67.0	0.001129240247054773
68.0	8.916003454461367E-4
69.0	6.816197696671387E-4
70.0	5.391591209028795E-4
71.0	4.251022037096785E-4
72.0	3.5382535396871024E-4
73.0	3.085096544597657E-4
74.0	2.807456465727403E-4
75.0	2.5281879992977924E-4
76.0	2.507600528011645E-4
77.0	2.2444996237785015E-4
78.0	1.6480445234656987E-4
79.0	1.2081472556452968E-4
80.0	1.1925612604343148E-4
81.0	1.0137875690964097E-4
82.0	4.961929520152918E-5
83.0	3.259101386654589E-5
84.0	3.15092992735449E-5
85.0	1.5364999756497902E-5
86.0	4.966582056036794E-6
87.0	3.047411003938267E-6
88.0	2.3146366022279203E-6
89.0	2.163429186001976E-6
90.0	1.9540650712275915E-6
91.0	1.5934935402272616E-6
92.0	1.407392104872253E-6
93.0	1.1631339709688042E-6
94.0	9.654011959041074E-7
95.0	6.746177031619065E-7
96.0	7.327744017103466E-7
97.0	4.768849280972097E-7
98.0	6.746177031619066E-7
99.0	1.1049772724203642E-6
100.0	8.37456459097539E-7
