#Mapping quality	mapping quality
0.0	5715654.0
1.0	2.9149892E7
2.0	7709604.0
3.0	4867343.0
4.0	3629583.0
5.0	2820961.0
6.0	2372891.0
7.0	2124395.0
8.0	1931746.0
9.0	1865742.0
10.0	1753962.0
11.0	1574979.0
12.0	1515533.0
13.0	1394705.0
14.0	1375674.0
15.0	1319222.0
16.0	1268741.0
17.0	1203738.0
18.0	1174780.0
19.0	1162972.0
20.0	1190111.0
21.0	1058594.0
22.0	1034053.0
23.0	1026446.0
24.0	1020826.0
25.0	987867.0
26.0	947843.0
27.0	933111.0
28.0	912737.0
29.0	931273.0
30.0	1119138.0
31.0	999007.0
32.0	1001081.0
33.0	979323.0
34.0	986754.0
35.0	991637.0
36.0	1048224.0
37.0	1056271.0
38.0	1109408.0
39.0	1118836.0
40.0	1231247.0
41.0	1269183.0
42.0	1266712.0
43.0	1318203.0
44.0	1348884.0
45.0	1386657.0
46.0	1428190.0
47.0	1503680.0
48.0	1674378.0
49.0	1792478.0
50.0	1983713.0
51.0	2161462.0
52.0	2459335.0
53.0	2866887.0
54.0	3696771.0
55.0	5009519.0
56.0	7907814.0
57.0	1.9510403E7
58.0	5.1339691E7
59.0	8.545445E7
60.0	2.614744612E9
