#Duplication rate	Coverage
1.0	1.1155827E7
2.0	301727.0
3.0	12187.0
4.0	4757.0
5.0	2557.0
6.0	1574.0
7.0	1038.0
8.0	799.0
9.0	597.0
10.0	464.0
11.0	348.0
12.0	334.0
13.0	235.0
14.0	221.0
15.0	176.0
16.0	178.0
17.0	149.0
18.0	110.0
19.0	114.0
20.0	110.0
21.0	78.0
22.0	81.0
23.0	87.0
24.0	74.0
25.0	64.0
26.0	62.0
27.0	50.0
28.0	47.0
29.0	40.0
30.0	40.0
31.0	24.0
32.0	35.0
33.0	21.0
34.0	26.0
35.0	15.0
36.0	21.0
37.0	14.0
38.0	17.0
39.0	19.0
40.0	20.0
41.0	13.0
42.0	14.0
43.0	15.0
44.0	14.0
45.0	9.0
46.0	11.0
47.0	8.0
48.0	14.0
49.0	15.0
50.0	352.0
