#GC Content (%)	Sample
1.0	1.0304739020552021E-5
2.0	1.4382745766928416E-5
3.0	1.774755850833316E-5
4.0	2.338910595791665E-5
5.0	2.2694198978713497E-5
6.0	2.4751489377670204E-5
7.0	2.3489684599643425E-5
8.0	2.304165246831508E-5
9.0	2.592185902685446E-5
10.0	3.0740490316855274E-5
11.0	4.1356108775471854E-5
12.0	6.457148798858772E-5
13.0	1.1824390861914704E-4
14.0	2.0419292973111597E-4
15.0	9.381244219242569E-5
16.0	7.338583440900665E-5
17.0	8.234647703557364E-5
18.0	9.160885558732093E-5
19.0	1.1465965156852026E-4
20.0	1.7590290086724026E-4
21.0	5.283487485036185E-4
22.0	0.0014754612435930947
23.0	9.645308871339765E-4
24.0	6.813471495958073E-4
25.0	0.0011552645658994736
26.0	0.0017333083069290018
27.0	0.0036093468499811773
28.0	0.006346786598345852
29.0	0.010264919021941103
30.0	0.015318812898453719
31.0	0.021205918530056683
32.0	0.027387747012457744
33.0	0.03329452948378762
34.0	0.038919207152099664
35.0	0.044757779017313024
36.0	0.05192497645271127
37.0	0.05999712564528971
38.0	0.06378500872784879
39.0	0.06962995362154246
40.0	0.06590509677329454
41.0	0.05815543928014366
42.0	0.05131347659803827
43.0	0.04556484032555441
44.0	0.04182623163392856
45.0	0.03839981904622262
46.0	0.03490782918411081
47.0	0.03130016474050033
48.0	0.027505378305713646
49.0	0.023658071532919808
50.0	0.02005176947272909
51.0	0.01831169496626574
52.0	0.01241519894693065
53.0	0.011589155705941554
54.0	0.009773126037948724
55.0	0.008306753446162576
56.0	0.007195496607775007
57.0	0.006172630108439503
58.0	0.005231570618879401
59.0	0.004507770138962012
60.0	0.003882774459271849
61.0	0.003350676870485688
62.0	0.002863793952912152
63.0	0.002421622813342609
64.0	0.002013236953880377
65.0	0.001680349080303414
66.0	0.0013920632625758322
67.0	0.0011491292687541405
68.0	9.057106687495833E-4
69.0	7.058060465611815E-4
70.0	5.61713427018254E-4
71.0	4.3883375736679126E-4
72.0	3.6136991621140807E-4
73.0	3.1309216818255746E-4
74.0	2.7875827730219124E-4
75.0	2.560275042719407E-4
76.0	2.455216079679351E-4
77.0	2.1726815315559637E-4
78.0	1.5768902320181024E-4
79.0	1.1437620266910844E-4
80.0	1.1077365859271317E-4
81.0	9.404103001453197E-5
82.0	4.812230830981835E-5
83.0	2.979870848977731E-5
84.0	2.7595121884672578E-5
85.0	1.4108440380400858E-5
86.0	4.3888861844409665E-6
87.0	2.3133087597157594E-6
88.0	1.5543971903228424E-6
89.0	1.6001147547441027E-6
90.0	1.1063650589944938E-6
91.0	1.0972215461102418E-6
92.0	1.0972215461102416E-6
93.0	9.143512884252014E-7
94.0	6.40045901897641E-7
95.0	5.943283374763809E-7
96.0	6.766199534346492E-7
97.0	3.7488402825433263E-7
98.0	2.8344889941181243E-7
99.0	2.743053865275604E-7
100.0	4.023145669070886E-7
