#Duplication rate	Coverage
1.0	1.0654252E7
2.0	193244.0
3.0	15578.0
4.0	7338.0
5.0	4205.0
6.0	2744.0
7.0	1944.0
8.0	1312.0
9.0	1064.0
10.0	813.0
11.0	667.0
12.0	521.0
13.0	440.0
14.0	366.0
15.0	290.0
16.0	237.0
17.0	257.0
18.0	213.0
19.0	183.0
20.0	168.0
21.0	140.0
22.0	123.0
23.0	109.0
24.0	85.0
25.0	124.0
26.0	118.0
27.0	91.0
28.0	71.0
29.0	69.0
30.0	62.0
31.0	62.0
32.0	53.0
33.0	56.0
34.0	51.0
35.0	38.0
36.0	36.0
37.0	43.0
38.0	29.0
39.0	24.0
40.0	29.0
41.0	30.0
42.0	33.0
43.0	21.0
44.0	26.0
45.0	20.0
46.0	27.0
47.0	25.0
48.0	20.0
49.0	9.0
50.0	596.0
