#Mapping quality	mapping quality
0.0	3252847.0
1.0	4.3994327E7
2.0	4081248.0
3.0	2444674.0
4.0	1848851.0
5.0	1471322.0
6.0	1375925.0
7.0	1321316.0
8.0	1224213.0
9.0	1238153.0
10.0	1249802.0
11.0	1083332.0
12.0	1099928.0
13.0	1101516.0
14.0	1058301.0
15.0	1052763.0
16.0	982301.0
17.0	937117.0
18.0	1001664.0
19.0	936413.0
20.0	905626.0
21.0	811414.0
22.0	846824.0
23.0	892274.0
24.0	835623.0
25.0	797923.0
26.0	826556.0
27.0	856696.0
28.0	830772.0
29.0	814329.0
30.0	884162.0
31.0	777434.0
32.0	812011.0
33.0	757766.0
34.0	752581.0
35.0	785790.0
36.0	851082.0
37.0	786705.0
38.0	773386.0
39.0	814660.0
40.0	860473.0
41.0	863354.0
42.0	989880.0
43.0	1026804.0
44.0	1011130.0
45.0	1024231.0
46.0	1027286.0
47.0	1078079.0
48.0	1209038.0
49.0	1311062.0
50.0	1427360.0
51.0	1524216.0
52.0	1613385.0
53.0	1710940.0
54.0	1940210.0
55.0	2278911.0
56.0	2672150.0
57.0	3957008.0
58.0	5642302.0
59.0	7737730.0
60.0	2.775533474E9
