#Duplication rate	Coverage
1.0	5278953.0
2.0	34502.0
3.0	8931.0
4.0	4435.0
5.0	2718.0
6.0	1826.0
7.0	1318.0
8.0	1024.0
9.0	736.0
10.0	670.0
11.0	511.0
12.0	449.0
13.0	337.0
14.0	326.0
15.0	225.0
16.0	225.0
17.0	214.0
18.0	175.0
19.0	156.0
20.0	145.0
21.0	123.0
22.0	126.0
23.0	104.0
24.0	92.0
25.0	88.0
26.0	100.0
27.0	87.0
28.0	68.0
29.0	67.0
30.0	68.0
31.0	54.0
32.0	53.0
33.0	53.0
34.0	34.0
35.0	53.0
36.0	34.0
37.0	35.0
38.0	43.0
39.0	36.0
40.0	27.0
41.0	29.0
42.0	28.0
43.0	22.0
44.0	20.0
45.0	22.0
46.0	19.0
47.0	13.0
48.0	21.0
49.0	18.0
50.0	652.0
