#GC Content (%)	Sample
1.0	8.642925571227635E-6
2.0	1.0885710054900629E-5
3.0	1.7723467627074392E-5
4.0	2.3740694290587302E-5
5.0	2.2209036594420376E-5
6.0	2.3576588108855132E-5
7.0	2.3850098411742077E-5
8.0	2.2646653079039503E-5
9.0	2.6311691137724636E-5
10.0	3.358706519451752E-5
11.0	4.80284091869485E-5
12.0	7.609056626314961E-5
13.0	1.2493950635875898E-4
14.0	2.0972770025371365E-4
15.0	9.682264722198047E-5
16.0	7.373837765832184E-5
17.0	8.719508456035981E-5
18.0	9.868251728161174E-5
19.0	1.1443671072790008E-4
20.0	1.5726842415999653E-4
21.0	2.357658810885513E-4
22.0	3.5671213702516077E-4
23.0	3.842272734955881E-4
24.0	5.03696573796608E-4
25.0	0.001070792835802411
26.0	0.0017657825154381523
27.0	0.003731993380831862
28.0	0.006492040549324656
29.0	0.010542399922716928
30.0	0.015741064951749775
31.0	0.021636524828417412
32.0	0.027923979671182632
33.0	0.033850400914137074
34.0	0.03968366454792822
35.0	0.04550926989323854
36.0	0.052283135458657905
37.0	0.05949253883039445
38.0	0.06307897002802988
39.0	0.06709005332192759
40.0	0.06351609419410381
41.0	0.0573154515214749
42.0	0.050905737573319225
43.0	0.045744981072266516
44.0	0.042208821068301705
45.0	0.03872610497752101
46.0	0.03530159187919466
47.0	0.031721396716465046
48.0	0.027989129825330302
49.0	0.02403728886303791
50.0	0.020337679102067862
51.0	0.018684746937600867
52.0	0.01272550445829999
53.0	0.011899831555944864
54.0	0.009997348591123814
55.0	0.008489978609853252
56.0	0.0074028845599987785
57.0	0.006308022817542317
58.0	0.0053715782425179754
59.0	0.004643931432717532
60.0	0.003970603769070438
61.0	0.0033959039206443767
62.0	0.0029053905434469206
63.0	0.0024512540365334273
64.0	0.0020476622335934436
65.0	0.0017094393930434406
66.0	0.0014177133039842192
67.0	0.0011811815940475845
68.0	9.228784640011482E-4
69.0	7.003504815723255E-4
70.0	5.575234014047599E-4
71.0	4.270589869276845E-4
72.0	3.50421400058761E-4
73.0	3.177095678334817E-4
74.0	2.7372911112926E-4
75.0	2.5485690023006045E-4
76.0	2.4938669417232145E-4
77.0	2.181518175826317E-4
78.0	1.628480343388903E-4
79.0	1.1416320042501313E-4
80.0	1.2028983120968082E-4
81.0	9.742436988833176E-5
82.0	4.939596070138326E-5
83.0	3.085196216564802E-5
84.0	3.20554074983506E-5
85.0	1.5973001688597908E-5
86.0	5.57961017889379E-6
87.0	3.6650380586851364E-6
88.0	2.8992092106016753E-6
89.0	2.5709968471373347E-6
90.0	2.188082423095604E-6
91.0	1.7504659384764833E-6
92.0	1.6957638778990931E-6
93.0	9.846370903930217E-7
94.0	7.658288480834614E-7
95.0	5.47020605773901E-7
96.0	3.829144240417307E-7
97.0	4.3761648461912076E-7
98.0	1.0940412115478019E-7
99.0	1.6410618173217027E-7
100.0	8.205309086608514E-7
