#Mapping quality	mapping quality
0.0	4700344.0
1.0	3.1095178E7
2.0	5307150.0
3.0	3782560.0
4.0	2866884.0
5.0	2265250.0
6.0	1991696.0
7.0	1755279.0
8.0	1636389.0
9.0	1498554.0
10.0	1457275.0
11.0	1275127.0
12.0	1392003.0
13.0	1276659.0
14.0	1164368.0
15.0	1344513.0
16.0	1135794.0
17.0	1119717.0
18.0	1003687.0
19.0	914573.0
20.0	1214162.0
21.0	904011.0
22.0	873714.0
23.0	898808.0
24.0	846025.0
25.0	901915.0
26.0	841011.0
27.0	889685.0
28.0	807297.0
29.0	856276.0
30.0	1656979.0
31.0	1023546.0
32.0	943050.0
33.0	979475.0
34.0	970252.0
35.0	899244.0
36.0	1079204.0
37.0	1003085.0
38.0	1045377.0
39.0	1023268.0
40.0	1758177.0
41.0	1127842.0
42.0	1187711.0
43.0	1261031.0
44.0	1265654.0
45.0	2045985.0
46.0	1441318.0
47.0	1446790.0
48.0	2339597.0
49.0	1716762.0
50.0	2817162.0
51.0	2868519.0
52.0	3153551.0
53.0	3612071.0
54.0	4271971.0
55.0	4833179.0
56.0	5640722.0
57.0	6793830.0
58.0	8252771.0
59.0	1.0817971E7
60.0	2.740124157E9
