#Coverage (X)	Coverage
1.0	93.29304511925214
2.0	90.51127743459703
3.0	84.88079677385394
4.0	75.79159025381588
5.0	63.719649448085896
6.0	50.10621098307756
7.0	36.79330556152827
8.0	25.28155713169494
9.0	16.360593959614008
10.0	10.021081834190156
11.0	5.879388427334305
12.0	3.3792791312485093
13.0	1.9517090193537996
14.0	1.1734144073345192
15.0	0.762857361973019
16.0	0.5435125134658989
17.0	0.42720992527833346
18.0	0.36174493706283783
19.0	0.3191056101079397
20.0	0.2890414226000786
21.0	0.26635463434979556
22.0	0.2467290412855334
23.0	0.22962898576766122
24.0	0.21467858012576357
25.0	0.20206708834192
26.0	0.19093628615989644
27.0	0.18100520768864214
28.0	0.17176762490399256
29.0	0.16335770980548148
30.0	0.15567133178439008
31.0	0.14852953044393757
32.0	0.1420199828550892
33.0	0.13575591818548105
34.0	0.12985180282781528
35.0	0.12434804615558903
36.0	0.11921025995295054
37.0	0.1144816870793619
38.0	0.11014165596685643
39.0	0.10613410867178175
40.0	0.10245804703431816
41.0	0.09907164493796472
42.0	0.0959764157218217
43.0	0.09315989848744266
44.0	0.09063886875961202
45.0	0.08833012508721083
46.0	0.08602576043854526
47.0	0.08375642797982152
48.0	0.08170669068233849
49.0	0.07981640136702595
50.0	0.07805616261714476
51.0	0.07643888611298166
