#Duplication rate	Coverage
1.0	1.0729923E7
2.0	315087.0
3.0	13303.0
4.0	5517.0
5.0	2971.0
6.0	1872.0
7.0	1263.0
8.0	857.0
9.0	664.0
10.0	506.0
11.0	451.0
12.0	340.0
13.0	274.0
14.0	261.0
15.0	218.0
16.0	195.0
17.0	160.0
18.0	147.0
19.0	132.0
20.0	130.0
21.0	99.0
22.0	100.0
23.0	85.0
24.0	72.0
25.0	63.0
26.0	53.0
27.0	45.0
28.0	45.0
29.0	47.0
30.0	28.0
31.0	30.0
32.0	33.0
33.0	28.0
34.0	30.0
35.0	25.0
36.0	29.0
37.0	21.0
38.0	28.0
39.0	18.0
40.0	17.0
41.0	11.0
42.0	14.0
43.0	14.0
44.0	20.0
45.0	12.0
46.0	18.0
47.0	8.0
48.0	13.0
49.0	14.0
50.0	406.0
