#Position (bp)	Coverage	Std
3882144.5	28.975825600492925	14.009804893952712
1.16464325E7	28.809014683638733	9.984010026628841
1.94107205E7	30.51165039215444	11.788592078430673
2.71750085E7	28.548551135661118	8.726710311000057
3.49392965E7	28.947420549057426	6.429409480414693
4.27035845E7	28.344105860060832	7.959732588189333
5.04678725E7	29.39573055507472	8.118087848356971
5.82321605E7	28.945081635302554	5.942325168554648
6.59964485E7	29.209978300650363	7.296952788754963
7.37607365E7	29.57396582919129	8.687977159622605
8.15250245E7	29.300707933554243	7.593457246933243
8.92893125E7	28.937567359685783	6.18740810747289
9.70536005E7	29.877214369173323	9.53241845413279
1.048178885E8	29.72444453374218	9.279037183175948
1.125821765E8	29.476469960928807	8.32974024477835
1.203464645E8	44.915220558536724	96.80917549144182
1.281107525E8	6.489361548670013	40.09620298956667
1.358750405E8	0.0	0.0
1.436393285E8	47.1004372841399	395.2459581774194
1.514036165E8	29.18123220055722	8.408556408704174
1.591679045E8	29.193293319361672	9.302699423602677
1.669321925E8	29.014570685682962	6.425597687164775
1.746964805E8	29.601254744800812	8.610395100467533
1.824607685E8	29.230664936694776	7.472113226864003
1.902250565E8	28.912139400290148	6.205842789253968
1.979893445E8	28.90958475522804	6.25961637692735
2.057536325E8	29.565207782091544	8.501256997437913
2.135179205E8	29.652069320457972	8.933925149816021
2.212822085E8	29.854120686919394	9.81057532965508
2.290464965E8	29.800846130385683	10.72201541869415
2.368107845E8	29.40501601692261	8.508849922439852
2.445750725E8	29.047113527988657	6.700532974786073
2.487068195E8	29.77940970260774	12.624137345729153
2.525889635E8	29.086553875097348	6.59180631709842
2.601036485E8	29.20805359100538	7.235166226842647
2.678679365E8	29.891016922607715	9.632008121490086
2.756322245E8	29.22254661341774	7.306001430888273
2.833965125E8	29.205753444488405	37.37971254881554
2.911608005E8	29.52452716849246	8.509479232377242
2.989250885E8	29.085959588309965	6.717308509832624
3.066893765E8	29.55033404221997	8.510203599391163
3.144536645E8	29.27281909171839	7.524274549186151
3.222179525E8	29.54708351879786	8.704268739648382
3.299822405E8	29.159351636621412	7.003297419260193
3.377465285E8	32.56711227095131	46.49749632351803
3.455108165E8	24.805681731538037	19.12689610233367
3.532751045E8	29.725417320944302	9.096704929278804
3.610393925E8	28.74669139011845	9.838687172806019
