#Mapping quality	mapping quality
0.0	2.2900564E7
1.0	6.4034824E7
2.0	1.4878265E7
3.0	1.1898373E7
4.0	9771293.0
5.0	8258142.0
6.0	7456274.0
7.0	6628349.0
8.0	6170468.0
9.0	5736462.0
10.0	5424150.0
11.0	4799945.0
12.0	4504641.0
13.0	4185763.0
14.0	3917505.0
15.0	3605618.0
16.0	3462137.0
17.0	3098026.0
18.0	3091509.0
19.0	2895234.0
20.0	2808544.0
21.0	2666127.0
22.0	2450003.0
23.0	2327899.0
24.0	2205214.0
25.0	2087596.0
26.0	1928212.0
27.0	1926071.0
28.0	1869146.0
29.0	1839372.0
30.0	1856115.0
31.0	1741075.0
32.0	1611093.0
33.0	1579598.0
34.0	1615516.0
35.0	1595532.0
36.0	1619702.0
37.0	1537051.0
38.0	1420186.0
39.0	1387895.0
40.0	1475417.0
41.0	1350218.0
42.0	1363128.0
43.0	1437536.0
44.0	1520226.0
45.0	1494120.0
46.0	1518326.0
47.0	1525385.0
48.0	1608966.0
49.0	1687817.0
50.0	1850182.0
51.0	2067771.0
52.0	2150114.0
53.0	2338155.0
54.0	2496224.0
55.0	2755788.0
56.0	3368193.0
57.0	4149237.0
58.0	6578603.0
59.0	9781604.0
60.0	2.8026128E9
