#Mapping quality	mapping quality
0.0	5300726.0
1.0	3.0741869E7
2.0	6821134.0
3.0	4584272.0
4.0	3446679.0
5.0	2656341.0
6.0	2273870.0
7.0	1954441.0
8.0	1761837.0
9.0	1518324.0
10.0	1544100.0
11.0	1401359.0
12.0	1412954.0
13.0	1297222.0
14.0	1270372.0
15.0	1256668.0
16.0	1138906.0
17.0	1131854.0
18.0	1096629.0
19.0	1008192.0
20.0	1162606.0
21.0	1087249.0
22.0	1000672.0
23.0	946674.0
24.0	976349.0
25.0	955270.0
26.0	982351.0
27.0	930001.0
28.0	887680.0
29.0	877181.0
30.0	1058392.0
31.0	902703.0
32.0	911752.0
33.0	911132.0
34.0	961015.0
35.0	943577.0
36.0	943105.0
37.0	998481.0
38.0	1042139.0
39.0	1024799.0
40.0	1092070.0
41.0	1129495.0
42.0	1146658.0
43.0	1191352.0
44.0	1220999.0
45.0	1350912.0
46.0	1411003.0
47.0	1417731.0
48.0	1550580.0
49.0	1598404.0
50.0	1754332.0
51.0	1899197.0
52.0	2133539.0
53.0	2477670.0
54.0	3160848.0
55.0	4006820.0
56.0	6167586.0
57.0	1.3828467E7
58.0	2.308669E7
59.0	4.6451815E7
60.0	2.694266674E9
