#Duplication rate	Coverage
1.0	6921339.0
2.0	104801.0
3.0	8754.0
4.0	4290.0
5.0	2547.0
6.0	1592.0
7.0	1162.0
8.0	807.0
9.0	594.0
10.0	453.0
11.0	339.0
12.0	289.0
13.0	242.0
14.0	204.0
15.0	187.0
16.0	160.0
17.0	144.0
18.0	118.0
19.0	106.0
20.0	98.0
21.0	74.0
22.0	72.0
23.0	72.0
24.0	51.0
25.0	50.0
26.0	46.0
27.0	43.0
28.0	35.0
29.0	40.0
30.0	24.0
31.0	26.0
32.0	27.0
33.0	30.0
34.0	27.0
35.0	18.0
36.0	25.0
37.0	18.0
38.0	17.0
39.0	22.0
40.0	13.0
41.0	21.0
42.0	15.0
43.0	21.0
44.0	16.0
45.0	12.0
46.0	10.0
47.0	15.0
48.0	8.0
49.0	6.0
50.0	312.0
