#Mapping quality	mapping quality
0.0	3711617.0
1.0	4.6666031E7
2.0	5174064.0
3.0	3081659.0
4.0	2288071.0
5.0	1976638.0
6.0	1686721.0
7.0	1536486.0
8.0	1358695.0
9.0	1398655.0
10.0	1251547.0
11.0	1121731.0
12.0	1074978.0
13.0	1145659.0
14.0	1051230.0
15.0	1121003.0
16.0	1045701.0
17.0	1097713.0
18.0	1145008.0
19.0	1046534.0
20.0	1049205.0
21.0	899889.0
22.0	887797.0
23.0	866352.0
24.0	889343.0
25.0	857410.0
26.0	891106.0
27.0	897925.0
28.0	904047.0
29.0	869739.0
30.0	939125.0
31.0	811987.0
32.0	808757.0
33.0	873113.0
34.0	886924.0
35.0	883564.0
36.0	932631.0
37.0	940194.0
38.0	909095.0
39.0	916121.0
40.0	1047517.0
41.0	988435.0
42.0	999108.0
43.0	1044775.0
44.0	1176209.0
45.0	1274631.0
46.0	1322682.0
47.0	1318923.0
48.0	1411593.0
49.0	1511521.0
50.0	1637000.0
51.0	1804954.0
52.0	2050289.0
53.0	2506847.0
54.0	3305286.0
55.0	5192557.0
56.0	1.2880544E7
57.0	4.3792549E7
58.0	2.53779523E8
59.0	3.6230637E8
60.0	2.132549139E9
