#Mapping quality	mapping quality
0.0	4505587.0
1.0	3.0618972E7
2.0	5154085.0
3.0	3569816.0
4.0	2755593.0
5.0	2125999.0
6.0	1939456.0
7.0	1573802.0
8.0	1578344.0
9.0	1433994.0
10.0	1455323.0
11.0	1365932.0
12.0	1220960.0
13.0	1191397.0
14.0	1184745.0
15.0	1149191.0
16.0	1035475.0
17.0	1104955.0
18.0	1067279.0
19.0	954771.0
20.0	1177040.0
21.0	940084.0
22.0	948329.0
23.0	997424.0
24.0	1026795.0
25.0	1013848.0
26.0	881751.0
27.0	847301.0
28.0	821708.0
29.0	829619.0
30.0	1210871.0
31.0	860427.0
32.0	958057.0
33.0	914316.0
34.0	900240.0
35.0	847872.0
36.0	979601.0
37.0	926334.0
38.0	992420.0
39.0	995983.0
40.0	1234798.0
41.0	1099519.0
42.0	1074145.0
43.0	1225885.0
44.0	1204958.0
45.0	1508315.0
46.0	1376423.0
47.0	1295595.0
48.0	1749732.0
49.0	1534139.0
50.0	2030318.0
51.0	2074723.0
52.0	2530975.0
53.0	2899223.0
54.0	3791229.0
55.0	4564300.0
56.0	5317174.0
57.0	6545277.0
58.0	9322706.0
59.0	1.4278802E7
60.0	2.744699651E9
