#Mapping quality	mapping quality
0.0	3450039.0
1.0	4.4469479E7
2.0	4906956.0
3.0	2911102.0
4.0	2154755.0
5.0	1988493.0
6.0	1669631.0
7.0	1422794.0
8.0	1381384.0
9.0	1307292.0
10.0	1344291.0
11.0	1279080.0
12.0	1214813.0
13.0	1065247.0
14.0	1108463.0
15.0	1177680.0
16.0	1141823.0
17.0	1052664.0
18.0	1074420.0
19.0	995358.0
20.0	986635.0
21.0	911616.0
22.0	942362.0
23.0	891856.0
24.0	898527.0
25.0	853299.0
26.0	830344.0
27.0	863842.0
28.0	881204.0
29.0	881797.0
30.0	996184.0
31.0	871528.0
32.0	873669.0
33.0	839715.0
34.0	800155.0
35.0	822488.0
36.0	848557.0
37.0	887258.0
38.0	888429.0
39.0	936718.0
40.0	958495.0
41.0	960166.0
42.0	976348.0
43.0	1060033.0
44.0	1107926.0
45.0	1144815.0
46.0	1169511.0
47.0	1220245.0
48.0	1293000.0
49.0	1430820.0
50.0	1555692.0
51.0	1732295.0
52.0	1970013.0
53.0	2383269.0
54.0	3169783.0
55.0	5442317.0
56.0	1.3339074E7
57.0	4.7155287E7
58.0	2.74895719E8
59.0	4.29965329E8
60.0	2.023645913E9
