#Mapping quality	mapping quality
0.0	3901331.0
1.0	4.6851188E7
2.0	4885501.0
3.0	2675441.0
4.0	1879672.0
5.0	1747377.0
6.0	1491774.0
7.0	1496730.0
8.0	1428009.0
9.0	1310361.0
10.0	1320247.0
11.0	1310528.0
12.0	1217152.0
13.0	1262403.0
14.0	1276659.0
15.0	1232294.0
16.0	1188575.0
17.0	1127721.0
18.0	1135567.0
19.0	1090675.0
20.0	1010836.0
21.0	997583.0
22.0	963766.0
23.0	951912.0
24.0	915600.0
25.0	885743.0
26.0	868378.0
27.0	900321.0
28.0	868479.0
29.0	851770.0
30.0	871828.0
31.0	840428.0
32.0	873352.0
33.0	881497.0
34.0	889783.0
35.0	929065.0
36.0	872077.0
37.0	873966.0
38.0	879553.0
39.0	853528.0
40.0	919676.0
41.0	910059.0
42.0	981388.0
43.0	1028618.0
44.0	1031609.0
45.0	1096154.0
46.0	1138903.0
47.0	1233720.0
48.0	1331420.0
49.0	1367902.0
50.0	1481694.0
51.0	1614563.0
52.0	1684533.0
53.0	1854124.0
54.0	2015862.0
55.0	2537872.0
56.0	3182244.0
57.0	3910648.0
58.0	6520541.0
59.0	8833144.0
60.0	2.789494893E9
