#Duplication rate	Coverage
1.0	6268391.0
2.0	40047.0
3.0	9346.0
4.0	4592.0
5.0	2643.0
6.0	1814.0
7.0	1277.0
8.0	918.0
9.0	725.0
10.0	596.0
11.0	454.0
12.0	416.0
13.0	346.0
14.0	269.0
15.0	224.0
16.0	202.0
17.0	212.0
18.0	195.0
19.0	173.0
20.0	120.0
21.0	131.0
22.0	120.0
23.0	118.0
24.0	80.0
25.0	120.0
26.0	87.0
27.0	72.0
28.0	71.0
29.0	78.0
30.0	65.0
31.0	66.0
32.0	63.0
33.0	60.0
34.0	48.0
35.0	34.0
36.0	30.0
37.0	30.0
38.0	44.0
39.0	33.0
40.0	32.0
41.0	29.0
42.0	28.0
43.0	32.0
44.0	23.0
45.0	21.0
46.0	13.0
47.0	16.0
48.0	13.0
49.0	11.0
50.0	648.0
