#Read position (bp)	Clipping profile
0.0	0.011098657685579966
1.0	0.01024308838908151
2.0	0.009657806901881475
3.0	0.008988252450388416
4.0	0.008507930036007987
5.0	0.008208265332264356
6.0	0.008069139970414568
7.0	0.007944732170648084
8.0	0.007847037255572857
9.0	0.007767306209548866
10.0	0.0077018560026976945
11.0	0.007648444790745526
12.0	0.007603345871522899
13.0	0.007562657853696159
14.0	0.007523090758006327
15.0	0.007487468725941199
16.0	0.00745455437592107
17.0	0.007422411569709462
18.0	0.007395931603903795
19.0	0.007369771901565815
20.0	0.007343568526936788
21.0	0.007319097486519347
22.0	0.007295427104771123
23.0	0.00727423148618231
24.0	0.007253152327036293
25.0	0.007232786481977398
26.0	0.00721306116385388
27.0	0.0071947624739046095
28.0	0.007176259979930446
29.0	0.007158470800043405
30.0	0.0071420500186092145
31.0	0.007125061497391396
32.0	0.0071091065537283865
33.0	0.007095116863162556
34.0	0.007080806909129036
35.0	0.0070655070498317546
36.0	0.007051517359265924
37.0	0.00703757134099114
38.0	0.007025226640054799
39.0	0.007012852824257758
40.0	0.007000697369915958
41.0	0.006988600145295558
42.0	0.00697723079219263
43.0	0.0069666766551892715
44.0	0.006956297207350106
45.0	0.006946427269573173
46.0	0.006936819365542529
47.0	0.006927851988447261
48.0	0.006918433331011161
49.0	0.006908898214132266
50.0	0.006900425789668879
51.0	0.006891982480066193
52.0	0.006884106910247135
53.0	0.0068768136376420545
54.0	0.006868923510392649
55.0	0.006861542893205471
56.0	0.006853987586854102
57.0	0.0068468398885525176
58.0	0.006840056126009669
59.0	0.006833228691175772
60.0	0.006826168337456285
61.0	0.006818904179711904
62.0	0.006812557140079539
63.0	0.00680607908357403
64.0	0.006800168766852149
65.0	0.006793938186662581
66.0	0.006787751278764059
67.0	0.006782219455231264
68.0	0.006776702189128819
69.0	0.0067704861663696
70.0	0.006764998015127854
71.0	0.006759495306455757
72.0	0.00675406538493541
73.0	0.006749115858616594
74.0	0.006744093545146029
75.0	0.006739318707991407
76.0	0.006734048918204902
77.0	0.00672896837501294
78.0	0.006724499243895657
79.0	0.006719942768196275
80.0	0.00671496412701676
81.0	0.0067103348641656315
82.0	0.00670554546958066
83.0	0.00670122191276687
84.0	0.0066968110113709844
85.0	0.006692356437684049
86.0	0.006687814519415018
87.0	0.006683898570651013
88.0	0.006679997179317358
89.0	0.006675557163060773
90.0	0.006670898785348945
91.0	0.0066667353602689996
92.0	0.00666268839463185
93.0	0.00665862687156435
94.0	0.006654638135648599
95.0	0.006650503825429352
96.0	0.006646384072640455
97.0	0.006642759272483439
98.0	0.006639090800035376
99.0	0.006635509672169409
100.0	0.006631753855139248
101.0	0.00662817272727328
102.0	0.006624300450800325
103.0	0.006621257947857287
104.0	0.006617647705130621
105.0	0.006614314053580594
106.0	0.006610776598005677
107.0	0.0066073410444432035
108.0	0.006603890933450381
109.0	0.006600528167039656
110.0	0.00659720907291998
111.0	0.006594122897685894
112.0	0.006590832918426917
113.0	0.006587572054028637
114.0	0.006584646010528395
115.0	0.006581399703560466
116.0	0.006578022379719391
117.0	0.0065749798767763545
118.0	0.006572228522440306
119.0	0.0065690258877634244
120.0	0.006565896040238291
121.0	0.0065634503919395825
122.0	0.006560466118717942
123.0	0.006557641977230147
124.0	0.0065548032783120025
125.0	0.006552197498279449
126.0	0.006549023978463267
127.0	0.006546389083570015
128.0	0.006543899762980258
129.0	0.0065410465066317635
130.0	0.006537916659106628
131.0	0.006535369108795474
132.0	0.006532690541611173
133.0	0.00652983728526268
134.0	0.006527537211267464
135.0	0.006524873201513514
136.0	0.006522209191759562
137.0	0.006519705313739454
138.0	0.006517070418846203
139.0	0.006515090608318676
140.0	0.006512586730298569
141.0	0.006510272098873005
142.0	0.006508088484320586
143.0	0.006505890312337818
144.0	0.006503575680912254
145.0	0.0065011445900438935
146.0	0.0064984514654292435
147.0	0.0064962241785857765
148.0	0.006493851317438813
149.0	0.00649153668601325
150.0	0.006489687892358869
151.0	0.006487693524400993
152.0	0.00648559725443067
153.0	0.006483297180435455
154.0	0.006480982549009892
155.0	0.006479060968203763
156.0	0.0064767463367781984
157.0	0.006474591837086479
158.0	0.00647240822253406
159.0	0.006470603101170726
160.0	0.006468768864946695
161.0	0.006466585250394275
162.0	0.006464343406120459
163.0	0.006462072446985943
164.0	0.006460136308749465
165.0	0.006457996366488095
166.0	0.006455827309366025
167.0	0.006454298779179331
168.0	0.006452406313233901
169.0	0.006450470174997424
170.0	0.00644867961106444
