#Duplication rate	Coverage
1.0	4208308.0
2.0	21849.0
3.0	6206.0
4.0	3021.0
5.0	1855.0
6.0	1169.0
7.0	829.0
8.0	656.0
9.0	480.0
10.0	372.0
11.0	318.0
12.0	255.0
13.0	193.0
14.0	168.0
15.0	153.0
16.0	135.0
17.0	95.0
18.0	96.0
19.0	66.0
20.0	66.0
21.0	55.0
22.0	49.0
23.0	54.0
24.0	31.0
25.0	38.0
26.0	45.0
27.0	36.0
28.0	36.0
29.0	30.0
30.0	38.0
31.0	25.0
32.0	18.0
33.0	20.0
34.0	21.0
35.0	20.0
36.0	14.0
37.0	10.0
38.0	21.0
39.0	10.0
40.0	14.0
41.0	17.0
42.0	17.0
43.0	11.0
44.0	8.0
45.0	10.0
46.0	12.0
47.0	9.0
48.0	8.0
49.0	9.0
50.0	687.0
