#Duplication rate	Coverage
1.0	4589799.0
2.0	109458.0
3.0	4837.0
4.0	2081.0
5.0	1136.0
6.0	694.0
7.0	504.0
8.0	378.0
9.0	254.0
10.0	202.0
11.0	176.0
12.0	123.0
13.0	90.0
14.0	74.0
15.0	64.0
16.0	47.0
17.0	50.0
18.0	49.0
19.0	35.0
20.0	29.0
21.0	36.0
22.0	21.0
23.0	41.0
24.0	27.0
25.0	25.0
26.0	23.0
27.0	8.0
28.0	17.0
29.0	15.0
30.0	12.0
31.0	6.0
32.0	14.0
33.0	8.0
34.0	4.0
35.0	7.0
36.0	6.0
37.0	6.0
38.0	3.0
39.0	9.0
40.0	8.0
41.0	3.0
42.0	2.0
43.0	3.0
44.0	5.0
45.0	4.0
46.0	4.0
47.0	2.0
48.0	4.0
49.0	3.0
50.0	148.0
