#Coverage (X)	Coverage
1.0	94.2658750919675
2.0	93.88838814412512
3.0	93.33985047552316
4.0	92.45436180569537
5.0	91.0331720923878
6.0	88.84715606635804
7.0	85.60195401286883
8.0	81.08048323556075
9.0	75.1207240739715
10.0	67.77112537062129
11.0	59.29487900996151
12.0	50.17593695458726
13.0	40.99878431120582
14.0	32.34977857336038
15.0	24.662900860586774
16.0	18.188259113968826
17.0	13.005778019115084
18.0	9.06005304067395
19.0	6.1915630410168205
20.0	4.185756785892252
21.0	2.83924504377498
22.0	1.9604863216648738
23.0	1.4005314112101672
24.0	1.0528982001463305
25.0	0.835249353974632
26.0	0.6988058646640951
27.0	0.6108216824525954
28.0	0.5508534959892444
29.0	0.5070580101700699
30.0	0.4731832670381664
31.0	0.44506088677201205
32.0	0.42143734162645785
33.0	0.4005980828125786
34.0	0.38182833130044
35.0	0.3644555527597504
36.0	0.3482820471479755
37.0	0.33348487513838165
38.0	0.31961299728543224
39.0	0.3066724991441845
40.0	0.2946202022525881
41.0	0.283278369764588
42.0	0.27281668885024146
43.0	0.263278273574187
44.0	0.2542758701235073
45.0	0.2460599522165552
46.0	0.23861709299376344
47.0	0.23133860815485718
48.0	0.22444876167314476
49.0	0.21777129784297244
50.0	0.2114372653895913
51.0	0.20540094215333227
