#Mapping quality	mapping quality
0.0	2.4314344E7
1.0	7.9769271E7
2.0	1.3750804E7
3.0	1.0170747E7
4.0	8059376.0
5.0	6924537.0
6.0	6098985.0
7.0	5459052.0
8.0	4902969.0
9.0	4618931.0
10.0	4207533.0
11.0	3839546.0
12.0	3614505.0
13.0	3204083.0
14.0	3150005.0
15.0	3154306.0
16.0	2928549.0
17.0	2764338.0
18.0	2659488.0
19.0	2510971.0
20.0	2415548.0
21.0	2233948.0
22.0	2176722.0
23.0	2077171.0
24.0	2047299.0
25.0	1991264.0
26.0	1841280.0
27.0	1720677.0
28.0	1607374.0
29.0	1529704.0
30.0	1597706.0
31.0	1462568.0
32.0	1437295.0
33.0	1459772.0
34.0	1497949.0
35.0	1431891.0
36.0	1428256.0
37.0	1447028.0
38.0	1470259.0
39.0	1443206.0
40.0	1425755.0
41.0	1436971.0
42.0	1384700.0
43.0	1406819.0
44.0	1449001.0
45.0	1559122.0
46.0	1547050.0
47.0	1649768.0
48.0	1715994.0
49.0	1824474.0
50.0	2001344.0
51.0	2282623.0
52.0	2605804.0
53.0	3364266.0
54.0	5061854.0
55.0	1.010913E7
56.0	2.5570309E7
57.0	8.1218024E7
58.0	2.74430977E8
59.0	2.8666715E8
60.0	2.142577691E9
