#Read position (bp)	Clipping profile
0.0	0.018892447874711147
1.0	0.016579839245381266
2.0	0.015016619369994617
3.0	0.013170772342820387
4.0	0.011776021888147475
5.0	0.01087031114666558
6.0	0.010525399086551765
7.0	0.010216788622103996
8.0	0.009972010808433341
9.0	0.009786000306609656
10.0	0.00963530647343782
11.0	0.009506750047442175
12.0	0.009408960865318528
13.0	0.009319613914745123
14.0	0.009233972165796548
15.0	0.009160899961600556
16.0	0.009089187894709881
17.0	0.009026246368374182
18.0	0.008969871022133116
19.0	0.008914855813197366
20.0	0.008863311299454493
21.0	0.008814158751317523
22.0	0.008767867181650357
23.0	0.008723545466011583
24.0	0.008678801638795294
25.0	0.008639592163373056
26.0	0.00860319676513423
27.0	0.008568442911919064
28.0	0.00853420497285419
29.0	0.008499638724784583
30.0	0.008468730777053417
31.0	0.008438010434467812
32.0	0.008409635156201715
33.0	0.008381963397231476
34.0	0.008353963329256503
35.0	0.008326432274145434
36.0	0.008302325012940849
37.0	0.008277701837585975
38.0	0.00825504851625949
39.0	0.008230050130613493
40.0	0.008208710045305934
41.0	0.008187182354852815
42.0	0.008166123677263598
43.0	0.008146049926688577
44.0	0.008127899128855552
45.0	0.008107778476994142
46.0	0.008089627679161118
47.0	0.008071945894191999
48.0	0.008054170306650099
49.0	0.008038880487286881
50.0	0.008023778273069224
51.0	0.008009473380720201
52.0	0.007996341020530935
53.0	0.007982598943618593
54.0	0.007969607287288499
55.0	0.00795624042066728
56.0	0.007942685948900501
57.0	0.007929928799002357
58.0	0.007918062773545627
59.0	0.007905493228793043
60.0	0.00789325199304519
61.0	0.007882746104893777
62.0	0.007872240216742364
63.0	0.007862297144027633
64.0	0.007852588577744854
65.0	0.007842457899884562
66.0	0.00783228032073788
67.0	0.007822853162173442
68.0	0.007813848115186517
69.0	0.007805124475917932
70.0	0.007796119428931006
71.0	0.00778884972954052
72.0	0.0077797977812672035
73.0	0.007772105970299204
74.0	0.007763241627171449
75.0	0.0077543303827573035
76.0	0.007746497867930134
77.0	0.007737680426088769
78.0	0.00773003551640716
79.0	0.007722578211871113
80.0	0.0077148864009031135
