#Mapping quality	mapping quality
0.0	1.6408051E7
1.0	5.4562063E7
2.0	1.0472628E7
3.0	7723877.0
4.0	6732714.0
5.0	6124421.0
6.0	5290883.0
7.0	4812055.0
8.0	4437520.0
9.0	4075867.0
10.0	3845306.0
11.0	3537550.0
12.0	3328068.0
13.0	3091634.0
14.0	3038759.0
15.0	2869903.0
16.0	2854667.0
17.0	2581107.0
18.0	2403881.0
19.0	2299163.0
20.0	2335857.0
21.0	2212877.0
22.0	2154193.0
23.0	2052826.0
24.0	2056812.0
25.0	1949420.0
26.0	1870735.0
27.0	1739075.0
28.0	1702268.0
29.0	1677418.0
30.0	1677473.0
31.0	1673050.0
32.0	1590181.0
33.0	1618235.0
34.0	1507345.0
35.0	1512834.0
36.0	1506208.0
37.0	1371314.0
38.0	1385862.0
39.0	1373620.0
40.0	1373894.0
41.0	1402732.0
42.0	1389101.0
43.0	1322539.0
44.0	1346685.0
45.0	1336752.0
46.0	1362300.0
47.0	1378776.0
48.0	1560797.0
49.0	1556407.0
50.0	1581579.0
51.0	1655045.0
52.0	1821828.0
53.0	1900046.0
54.0	2120298.0
55.0	2413717.0
56.0	2839267.0
57.0	3817126.0
58.0	5364931.0
59.0	8450996.0
60.0	2.789126745E9
