#Mapping quality	mapping quality
0.0	5630634.0
1.0	3.2628468E7
2.0	7206182.0
3.0	4483770.0
4.0	3139728.0
5.0	2502391.0
6.0	2017751.0
7.0	1865611.0
8.0	1701308.0
9.0	1698257.0
10.0	1459375.0
11.0	1374436.0
12.0	1349338.0
13.0	1282314.0
14.0	1266486.0
15.0	1294806.0
16.0	1184843.0
17.0	1188423.0
18.0	1076361.0
19.0	979685.0
20.0	1045641.0
21.0	925791.0
22.0	974403.0
23.0	923195.0
24.0	1024229.0
25.0	949896.0
26.0	1013392.0
27.0	1000782.0
28.0	968418.0
29.0	980321.0
30.0	1274728.0
31.0	1021383.0
32.0	1101043.0
33.0	1086860.0
34.0	1100553.0
35.0	1079402.0
36.0	1200472.0
37.0	1142798.0
38.0	1190802.0
39.0	1197124.0
40.0	1461569.0
41.0	1270263.0
42.0	1326190.0
43.0	1406015.0
44.0	1451219.0
45.0	1609476.0
46.0	1557759.0
47.0	1515792.0
48.0	1785767.0
49.0	1779480.0
50.0	2075116.0
51.0	2276409.0
52.0	2615053.0
53.0	3128019.0
54.0	3941845.0
55.0	5594797.0
56.0	9058642.0
57.0	1.2785836E7
58.0	1.8428799E7
59.0	3.1937045E7
60.0	2.723417474E9
