#Duplication rate	Coverage
1.0	4812357.0
2.0	73375.0
3.0	6364.0
4.0	3007.0
5.0	1683.0
6.0	1076.0
7.0	722.0
8.0	491.0
9.0	401.0
10.0	303.0
11.0	232.0
12.0	175.0
13.0	144.0
14.0	159.0
15.0	116.0
16.0	75.0
17.0	90.0
18.0	63.0
19.0	58.0
20.0	49.0
21.0	34.0
22.0	37.0
23.0	37.0
24.0	35.0
25.0	27.0
26.0	19.0
27.0	19.0
28.0	23.0
29.0	13.0
30.0	16.0
31.0	22.0
32.0	10.0
33.0	11.0
34.0	11.0
35.0	9.0
36.0	13.0
37.0	10.0
38.0	11.0
39.0	10.0
40.0	7.0
41.0	5.0
42.0	9.0
43.0	8.0
44.0	8.0
45.0	6.0
46.0	1.0
47.0	6.0
48.0	3.0
49.0	10.0
50.0	222.0
