#Duplication rate	Coverage
1.0	6783933.0
2.0	90003.0
3.0	12166.0
4.0	4966.0
5.0	2808.0
6.0	1782.0
7.0	1308.0
8.0	1032.0
9.0	738.0
10.0	608.0
11.0	479.0
12.0	359.0
13.0	354.0
14.0	295.0
15.0	227.0
16.0	231.0
17.0	205.0
18.0	167.0
19.0	138.0
20.0	132.0
21.0	117.0
22.0	117.0
23.0	111.0
24.0	84.0
25.0	92.0
26.0	84.0
27.0	72.0
28.0	68.0
29.0	47.0
30.0	52.0
31.0	43.0
32.0	47.0
33.0	37.0
34.0	39.0
35.0	45.0
36.0	32.0
37.0	36.0
38.0	28.0
39.0	24.0
40.0	18.0
41.0	27.0
42.0	17.0
43.0	24.0
44.0	13.0
45.0	14.0
46.0	13.0
47.0	11.0
48.0	12.0
49.0	15.0
50.0	931.0
