#Mapping quality	mapping quality
0.0	3674813.0
1.0	4.4668492E7
2.0	4873156.0
3.0	2631817.0
4.0	1938082.0
5.0	1820293.0
6.0	1763461.0
7.0	1476733.0
8.0	1445551.0
9.0	1436994.0
10.0	1295577.0
11.0	1233123.0
12.0	1205195.0
13.0	1036118.0
14.0	1034822.0
15.0	1083859.0
16.0	1077113.0
17.0	1043083.0
18.0	1061623.0
19.0	983631.0
20.0	996508.0
21.0	903248.0
22.0	897360.0
23.0	886770.0
24.0	841727.0
25.0	861415.0
26.0	849855.0
27.0	829307.0
28.0	804278.0
29.0	743122.0
30.0	869708.0
31.0	749240.0
32.0	792552.0
33.0	756048.0
34.0	774462.0
35.0	817369.0
36.0	821223.0
37.0	882698.0
38.0	972708.0
39.0	935714.0
40.0	959646.0
41.0	928642.0
42.0	981229.0
43.0	1008326.0
44.0	1039023.0
45.0	1105308.0
46.0	1158177.0
47.0	1213608.0
48.0	1391112.0
49.0	1434495.0
50.0	1654531.0
51.0	1757485.0
52.0	2074351.0
53.0	2630761.0
54.0	3941446.0
55.0	7333638.0
56.0	1.8388196E7
57.0	6.6982253E7
58.0	1.89408822E8
59.0	1.97701847E8
60.0	2.312038897E9
