#Position (bp)	mapping quality
3896616.0	57.88695458688799
1.1689847E7	58.363566119466704
1.9483078E7	56.19886273349615
2.7276309E7	59.293489848228866
3.506954E7	59.327040863328286
4.2862771E7	59.36713294627766
5.0656002E7	59.36933941249483
5.8449233E7	59.420302921161955
6.6242464E7	59.41764287223525
7.4035695E7	59.464318354858
8.1828926E7	59.352511855549764
8.9622157E7	59.42667450636511
9.7415388E7	59.43311304914933
1.05208619E8	58.0151688369826
1.1300185E8	59.38005625293863
1.20795081E8	36.54775233355644
1.28588312E8	18.969653406737034
1.36381543E8	8.273527277379833
1.44174774E8	34.74389551530874
1.51968005E8	57.805449290792595
1.59761236E8	58.494829978999576
1.67554467E8	59.43716897705531
1.75347698E8	59.424298441167466
1.83140929E8	59.43167707001362
1.9093416E8	59.482357647151574
1.98727391E8	59.39496149094301
2.06520622E8	59.06024328882085
2.14313853E8	59.484458962226924
2.22107084E8	59.41675632486365
2.29900315E8	58.45601097639217
2.37693546E8	59.37254263596886
2.44988745E8	58.955078654852386
2.488853605E8	59.111530682446386
2.53280008E8	59.327174038742506
2.61073239E8	59.425633270909735
2.6886647E8	59.41303815879083
2.76659701E8	59.37416197955699
2.84452932E8	59.41010799116824
2.92246163E8	59.3739052021246
3.00039394E8	59.46273426422841
3.07832625E8	59.43260313563822
3.15625856E8	59.38459781554643
3.23419087E8	59.433501029521516
3.31212318E8	59.47599607567308
3.39005549E8	34.14654403743768
3.4679878E8	53.97809081536531
3.54592011E8	59.281092778958396
3.62385242E8	55.55075770125385
3.70178473E8	59.37506745561361
3.77971704E8	58.190151397937036
3.85764935E8	59.416040559711476
3.93558166E8	59.481529533351164
4.01351397E8	59.41147365763663
4.09144628E8	59.43174820499293
4.16937859E8	59.41333979135593
4.2473109E8	59.44087848741123
4.32524321E8	59.471374379954675
4.40317552E8	59.48061003979898
4.48110783E8	59.4276790631298
4.55904014E8	59.43320145480304
4.63697245E8	59.40527759269322
4.71490476E8	59.408844207954466
4.79283707E8	59.31359191560433
4.87076938E8	56.08166185859237
4.91028817E8	53.378290889739304
4.949254325E8	59.446402183426706
5.026634E8	59.361684391212094
5.10456631E8	59.47684416568252
5.18249862E8	59.47492980749582
5.26043093E8	59.375516029038764
5.33836324E8	59.40755256164911
5.41629555E8	59.24971064648047
5.49422786E8	59.39354839341602
5.57216017E8	59.438013851733615
5.65009248E8	59.43164498730335
5.72802479E8	59.41860031681373
5.8059571E8	44.635290681700425
5.88388941E8	48.6138285452686
5.96182172E8	59.40645025957057
6.03975403E8	59.47785158374524
6.11768634E8	59.45693026872775
6.19561865E8	58.94544317470388
6.27355096E8	59.40227051563463
6.35148327E8	59.412321429245104
6.42941558E8	59.42535790686619
6.50734789E8	59.45749896339204
6.5852802E8	59.48215501587219
6.66321251E8	59.43809422771455
6.74114482E8	59.434879711039954
6.81907713E8	59.39649769022062
6.889971785E8	51.89593398708629
6.92893794E8	56.79792910026048
6.97494175E8	58.60877131727868
7.05287406E8	58.14833389088678
7.13080637E8	59.301373327243084
7.20873868E8	59.43524107293425
7.28667099E8	59.44309828227481
7.3646033E8	59.484939536123285
7.44253561E8	20.93168998993103
7.52046792E8	59.44085548478374
7.59840023E8	59.48312273295502
7.67633254E8	59.345320682899114
7.75426485E8	59.442822011602196
7.83219716E8	59.45919409960518
7.91012947E8	59.47047788657495
7.98806178E8	59.44914664544683
8.06599409E8	59.388312277091416
8.1439264E8	59.440389905533195
8.22185871E8	59.481289471872785
8.29979102E8	59.30423709345045
8.37772333E8	59.43550176372975
8.45565564E8	57.390758396079065
8.53358795E8	59.440889959573525
8.61152026E8	59.377014798454475
8.68945257E8	59.489348321596644
8.76738488E8	59.41198415661476
8.832000385E8	58.4276741039015
8.87096654E8	58.912142310269395
8.9232495E8	59.36315174835154
9.00118181E8	58.17254098024235
9.07911412E8	59.15750435284208
9.15704643E8	59.43196105819694
9.23497874E8	58.446366314415116
9.31291105E8	46.9117114255162
9.39084336E8	38.264328056861366
9.46877567E8	59.44380391508993
9.54670798E8	50.45885795300251
9.62464029E8	59.40369911930634
9.7025726E8	59.438458634317236
9.78050491E8	59.498337234404175
9.85843722E8	59.37372974512741
9.93636953E8	59.438797331592745
1.001430184E9	59.473823324069734
1.009223415E9	59.441758844140864
1.017016646E9	59.38519128697772
1.024809877E9	59.35733968179978
1.032603108E9	59.39374423521962
1.040396339E9	59.38305009886328
1.04818957E9	59.43178472361118
1.055982801E9	59.40604894530142
1.063776032E9	57.94737789317052
1.06774153E9	31.296422090350635
1.0716381455E9	58.82040193704582
1.079362494E9	59.42414684528397
1.087155725E9	59.18470447350957
1.094948956E9	58.47559822010547
1.102742187E9	58.97694406092962
1.110535418E9	59.38396967509148
1.118328649E9	59.46903133460023
1.12612188E9	39.47192691664407
1.133915111E9	59.106912591950596
1.141708342E9	59.385313834842414
1.149501573E9	59.43807469480721
1.157294804E9	59.46882735632961
1.165088035E9	59.470888135219106
1.172881266E9	59.428149399637704
1.180674497E9	59.37970061959574
1.188467728E9	59.46798813100958
1.196260959E9	59.46455907259108
1.20405419E9	59.42374673051257
1.211847421E9	59.425046472336525
1.219640652E9	59.42848733305576
1.227433883E9	58.5874118518096
1.235227114E9	59.29275183336002
1.239530385E9	51.838342024594084
1.2434270005E9	57.25940772832835
1.250813576E9	59.4120088462059
1.258606807E9	59.46010073520812
1.266400038E9	59.32286965003857
1.274193269E9	59.260488410794046
1.2819865E9	59.3456148626899
1.289779731E9	59.20424567735446
1.297572962E9	42.397309878349354
1.305366193E9	40.8864906524854
1.313159424E9	55.40881219200807
1.320952655E9	59.16976246400067
1.328745886E9	59.48747582229249
1.336539117E9	59.35293134196408
1.344332348E9	57.97579095383976
1.352125579E9	59.45593534578958
1.35991881E9	59.479008899541824
1.367712041E9	59.42446231805308
1.375505272E9	59.391833277833825
1.383298503E9	57.69494347637953
1.391091734E9	59.3015978111766
1.397746409E9	58.987799440317595
1.4016430245E9	21.472007376953986
1.406678196E9	59.00672678132663
1.414471427E9	59.37154839548426
1.422264658E9	59.399453551602775
1.430057889E9	59.44000995015737
1.43785112E9	59.44445672620835
1.445644351E9	57.73667169469872
1.453437582E9	57.584486909616814
1.461230813E9	35.47995937425361
1.469024044E9	57.06996095527848
1.476817275E9	59.441944973226356
1.484610506E9	59.44524900121601
1.492403737E9	59.22111824018111
1.500196968E9	57.533298235558796
1.507990199E9	59.44370177433823
1.51578343E9	58.048411223926266
1.523576661E9	59.384480804817606
1.531369892E9	58.48043925887636
1.539163123E9	57.500502665662935
1.546956354E9	57.927145326355294
1.552808502E9	51.8900366667188
1.5567051175E9	58.95136098731526
1.562542816E9	59.42416783500626
1.570336047E9	59.43894785971264
1.578129278E9	59.455861975229354
1.585922509E9	59.41560656547122
1.59371574E9	47.471946183808896
1.601508971E9	33.107786633858204
1.609302202E9	9.02930567994501
1.617095433E9	3.3475636285742367
