#Coverage (X)	Coverage
1.0	96.88417229380755
2.0	96.42567941989472
3.0	96.12939989931711
4.0	95.90023388472547
5.0	95.69892640826562
6.0	95.51753050845826
7.0	95.339053231544
8.0	95.16315832414125
9.0	94.97828799853201
10.0	94.78178716182985
11.0	94.55421567219398
12.0	94.28179888193793
13.0	93.93789257610372
14.0	93.48936761642614
15.0	92.89920132507828
16.0	92.11810130450817
17.0	91.09294622495864
18.0	89.7600450701432
19.0	88.07324473769954
20.0	85.97347806424824
21.0	83.43376477392444
22.0	80.41173382897034
23.0	76.90477658707161
24.0	72.91684532466667
25.0	68.48252108118955
26.0	63.65469768124743
27.0	58.5214465964365
28.0	53.163213096038184
29.0	47.71620267201975
30.0	42.28730999209836
31.0	36.98558457501224
32.0	31.906441253032796
33.0	27.153137113648768
34.0	22.79417247547164
35.0	18.895441837761453
36.0	15.469775984128432
37.0	12.52162550812892
38.0	10.045167888294799
39.0	8.000353396465684
40.0	6.327312794915628
41.0	4.993928945515847
42.0	3.9485663914706635
43.0	3.1395191019107926
44.0	2.5281267276312747
45.0	2.0641649404382036
46.0	1.7142918853927114
47.0	1.4556173429075159
48.0	1.2647836684741804
49.0	1.1214297606704804
50.0	1.0139680623510117
51.0	0.9319063901510134
