#Mapping quality	mapping quality
0.0	6153010.0
1.0	3.0356203E7
2.0	7896203.0
3.0	5008527.0
4.0	3796768.0
5.0	3137829.0
6.0	2655343.0
7.0	2322514.0
8.0	2215376.0
9.0	1971016.0
10.0	1730145.0
11.0	1644026.0
12.0	1570980.0
13.0	1510393.0
14.0	1425158.0
15.0	1424308.0
16.0	1284959.0
17.0	1215694.0
18.0	1134406.0
19.0	1086387.0
20.0	1163217.0
21.0	1063126.0
22.0	978182.0
23.0	964297.0
24.0	952535.0
25.0	936475.0
26.0	941969.0
27.0	942643.0
28.0	930446.0
29.0	944289.0
30.0	1082722.0
31.0	956623.0
32.0	955618.0
33.0	981277.0
34.0	979253.0
35.0	994849.0
36.0	1016913.0
37.0	1077787.0
38.0	1096170.0
39.0	1127458.0
40.0	1194601.0
41.0	1208764.0
42.0	1240662.0
43.0	1256396.0
44.0	1327991.0
45.0	1440085.0
46.0	1484900.0
47.0	1540633.0
48.0	1657608.0
49.0	1835337.0
50.0	2085268.0
51.0	2259819.0
52.0	2697368.0
53.0	3296211.0
54.0	4144292.0
55.0	5674655.0
56.0	8819891.0
57.0	2.0113588E7
58.0	6.8581243E7
59.0	1.20093334E8
60.0	2.557467889E9
