#Coverage (X)	Coverage
1.0	93.66749911017192
2.0	93.51417355056954
3.0	93.4000492047071
4.0	93.30559862117009
5.0	93.21869393270866
6.0	93.13620098187353
7.0	93.05848345302628
8.0	92.98372450209544
9.0	92.9088800636055
10.0	92.83328620028011
11.0	92.75287357551126
12.0	92.66701907997926
13.0	92.56836608259061
14.0	92.44986577186202
15.0	92.29861033133676
16.0	92.09543190472654
17.0	91.8091404768384
18.0	91.39452690995304
19.0	90.79209901104826
20.0	89.92954969610487
21.0	88.7282958385162
22.0	87.1045888667862
23.0	84.97663940396066
24.0	82.2760930145252
25.0	78.96933299576169
26.0	75.04411398734939
27.0	70.52084475142979
28.0	65.4796633544228
29.0	60.0172410600824
30.0	54.27435662342344
31.0	48.39193697789654
32.0	42.530455183615146
33.0	36.84309122984087
34.0	31.45926639053043
35.0	26.477425756040773
36.0	21.97940098022444
37.0	18.005184302382347
38.0	14.570047600017062
39.0	11.661909500807283
40.0	9.251861654122393
41.0	7.292402889698067
42.0	5.726657964179125
43.0	4.495549532645597
44.0	3.546648638577963
45.0	2.8263720341172984
46.0	2.287566391598503
47.0	1.8887762982138128
48.0	1.595851196732923
49.0	1.381091411475694
50.0	1.222999252330311
51.0	1.1060472162832156
