#Mapping quality	mapping quality
0.0	2.2939788E7
1.0	6.1098961E7
2.0	1.291027E7
3.0	9070719.0
4.0	7455002.0
5.0	6276206.0
6.0	5609255.0
7.0	5099651.0
8.0	4807836.0
9.0	4285676.0
10.0	3873915.0
11.0	3557476.0
12.0	3399407.0
13.0	3072731.0
14.0	2804291.0
15.0	2709616.0
16.0	2513236.0
17.0	2336045.0
18.0	2269707.0
19.0	2179759.0
20.0	2107065.0
21.0	1975057.0
22.0	1855670.0
23.0	1840482.0
24.0	1800922.0
25.0	1733107.0
26.0	1731156.0
27.0	1640200.0
28.0	1665050.0
29.0	1609885.0
30.0	1598462.0
31.0	1498429.0
32.0	1409860.0
33.0	1367929.0
34.0	1382541.0
35.0	1304206.0
36.0	1296264.0
37.0	1302438.0
38.0	1329735.0
39.0	1341848.0
40.0	1345332.0
41.0	1315549.0
42.0	1291695.0
43.0	1275833.0
44.0	1338797.0
45.0	1399389.0
46.0	1407769.0
47.0	1476131.0
48.0	1592353.0
49.0	1686914.0
50.0	1792792.0
51.0	2002204.0
52.0	2162182.0
53.0	2591319.0
54.0	3416582.0
55.0	5519941.0
56.0	1.3244744E7
57.0	4.7488517E7
58.0	2.8185084E8
59.0	4.24953659E8
60.0	2.032630506E9
