#Duplication rate	Coverage
1.0	9989628.0
2.0	48797.0
3.0	5742.0
4.0	2825.0
5.0	1684.0
6.0	1085.0
7.0	811.0
8.0	566.0
9.0	452.0
10.0	368.0
11.0	298.0
12.0	268.0
13.0	188.0
14.0	186.0
15.0	144.0
16.0	122.0
17.0	95.0
18.0	96.0
19.0	117.0
20.0	69.0
21.0	74.0
22.0	68.0
23.0	67.0
24.0	54.0
25.0	41.0
26.0	43.0
27.0	46.0
28.0	45.0
29.0	21.0
30.0	33.0
31.0	31.0
32.0	25.0
33.0	17.0
34.0	26.0
35.0	20.0
36.0	15.0
37.0	19.0
38.0	13.0
39.0	10.0
40.0	7.0
41.0	11.0
42.0	5.0
43.0	10.0
44.0	17.0
45.0	14.0
46.0	9.0
47.0	5.0
48.0	7.0
49.0	8.0
50.0	332.0
