#GC Content (%)	Sample
1.0	8.725155941584258E-6
2.0	2.4207800132625507E-5
3.0	2.804122444119217E-5
4.0	2.9326871857562183E-5
5.0	2.8033385127677725E-5
6.0	2.8166653457423393E-5
7.0	2.9467979500822303E-5
8.0	3.0197035657666272E-5
9.0	3.058900133338883E-5
10.0	3.1568915522695246E-5
11.0	3.320733204721556E-5
12.0	4.604028827037228E-5
13.0	5.2264703200846585E-5
14.0	4.757679371920472E-5
15.0	4.5460179070302886E-5
16.0	4.818826017333192E-5
17.0	5.346411816855763E-5
18.0	6.110744884514761E-5
19.0	6.7559203867541E-5
20.0	8.039216009069772E-5
21.0	1.9893825905622977E-4
22.0	8.746792446884143E-4
23.0	5.583159084992191E-4
24.0	4.6944945049939954E-4
25.0	9.093368497358035E-4
26.0	0.001449246050103091
27.0	0.0031188081672163205
28.0	0.005710728233812857
29.0	0.009582635732421968
30.0	0.014723053908058493
31.0	0.02085703451783009
32.0	0.027364456505489597
33.0	0.03370843664568631
34.0	0.03987281027395343
35.0	0.046223508705832035
36.0	0.054162969450430413
37.0	0.06182939474463397
38.0	0.06516117354209738
39.0	0.07024930349659253
40.0	0.0670141285595677
41.0	0.058516696836264724
42.0	0.05359271426744869
43.0	0.04737950955530004
44.0	0.04266007035470307
45.0	0.03868415868369773
46.0	0.03475947692650934
47.0	0.03071291736211176
48.0	0.026646085332965825
49.0	0.02272519780351842
50.0	0.019189824194771193
51.0	0.01735507990259496
52.0	0.011729165201694956
53.0	0.010900879014385061
54.0	0.009181568613709126
55.0	0.007767787617945412
56.0	0.0066588226495641065
57.0	0.0056610034681906915
58.0	0.004779237484085213
59.0	0.0040922549228733065
60.0	0.003494914911699149
61.0	0.002991293893590256
62.0	0.0025590106284628703
63.0	0.00214678032730545
64.0	0.0017767098542287492
65.0	0.0014569520952877966
66.0	0.0012136119644857147
67.0	0.0010180524495542135
68.0	8.23825617920169E-4
69.0	6.316918829944828E-4
70.0	5.208047933325698E-4
71.0	4.3661840550087767E-4
72.0	3.827780002836263E-4
73.0	3.4301700213832954E-4
74.0	3.1252991188062854E-4
75.0	2.893020259373095E-4
76.0	2.7349013057866126E-4
77.0	2.55922228992776E-4
78.0	1.7822679275104956E-4
79.0	1.346166916701571E-4
80.0	1.253271051555324E-4
81.0	1.0655978860193605E-4
82.0	7.684095106865129E-5
83.0	6.01432132828701E-5
84.0	6.855479668387631E-5
85.0	4.9379835827528516E-5
86.0	4.115639595086914E-5
87.0	3.900842404790949E-5
88.0	3.5151481798799474E-5
89.0	3.13337361172617E-5
90.0	2.873892334397833E-5
91.0	2.5783502149030206E-5
92.0	2.4372425716428984E-5
93.0	2.3384672213608126E-5
94.0	2.1597308732313237E-5
95.0	1.921415742392005E-5
96.0	1.951989065098365E-5
97.0	2.0045124656451884E-5
98.0	2.1119110607931707E-5
99.0	2.623034301935393E-5
100.0	6.194625539119389E-5
