#Coverage (X)	Coverage
1.0	97.25886548064135
2.0	96.89751528479653
3.0	96.64953136713943
4.0	96.44464212812757
5.0	96.26043824632704
6.0	96.10264308663255
7.0	95.95790836499962
8.0	95.82192694571606
9.0	95.69220464478326
10.0	95.56664432152486
11.0	95.44326210665271
12.0	95.32108330805204
13.0	95.19866516710448
14.0	95.07566649024325
15.0	94.94983304532
16.0	94.82111940829465
17.0	94.68816337123009
18.0	94.5473309146807
19.0	94.39531615656405
20.0	94.22940363108164
21.0	94.0389146147605
22.0	93.81886891978012
23.0	93.55220086900616
24.0	93.22408474224233
25.0	92.81585453107704
26.0	92.30247356963251
27.0	91.65886833311708
28.0	90.85523946429569
29.0	89.8649054722678
30.0	88.65397713599548
31.0	87.18281418526176
32.0	85.41419158712324
33.0	83.31279869454133
34.0	80.853267849233
35.0	78.02206910307254
36.0	74.82570537575583
37.0	71.25845201922321
38.0	67.34554561645551
39.0	63.12826157479688
40.0	58.64640639848676
41.0	53.98236726660009
42.0	49.20537981543707
43.0	44.38652997311222
44.0	39.634274019116866
45.0	35.01350199116891
46.0	30.595515549494223
47.0	26.45247966771366
48.0	22.642126408129613
49.0	19.18870306560656
50.0	16.10986913394997
51.0	13.4088272646201
