#Coverage (X)	Coverage
1.0	93.50523448196961
2.0	93.2723408052067
3.0	93.07902783610899
4.0	92.8663310540153
5.0	92.56610032418804
6.0	92.04774697645854
7.0	91.12639642048192
8.0	89.52856825552254
9.0	86.94016589505785
10.0	83.07442120938704
11.0	77.80214510940793
12.0	71.13816323078444
13.0	63.311265815243914
14.0	54.72881025853465
15.0	45.884784247510986
16.0	37.28486894356155
17.0	29.375159133843567
18.0	22.463602514974184
19.0	16.70523752101208
20.0	12.113617842217351
21.0	8.60732148884837
22.0	6.029834424639873
23.0	4.193601452742158
24.0	2.9238789508359986
25.0	2.0747199177299365
26.0	1.5203374115843644
27.0	1.1628568708783718
28.0	0.934530773469092
29.0	0.788580681202049
30.0	0.6916871819931032
31.0	0.6247499724349268
32.0	0.5756691337527258
33.0	0.5385225193145828
34.0	0.5087651532570732
35.0	0.48322285514187513
36.0	0.4604149031684699
37.0	0.439466587344171
38.0	0.42031096656339173
39.0	0.40275829386348505
40.0	0.3865030035435666
41.0	0.37139846270565613
42.0	0.35666497973255673
43.0	0.342768051287905
44.0	0.33000409864064295
45.0	0.3181478918563556
46.0	0.30698685509128154
47.0	0.29653879422872365
48.0	0.286802099333471
49.0	0.2776197051274636
50.0	0.2689044497189883
51.0	0.2606210111297571
