#Mapping quality	mapping quality
0.0	5053329.0
1.0	2.9210627E7
2.0	6288720.0
3.0	4361249.0
4.0	3310997.0
5.0	2720728.0
6.0	2266107.0
7.0	2087424.0
8.0	1908676.0
9.0	1784230.0
10.0	1694362.0
11.0	1525736.0
12.0	1529531.0
13.0	1431245.0
14.0	1317992.0
15.0	1365620.0
16.0	1238496.0
17.0	1141411.0
18.0	1160544.0
19.0	1051420.0
20.0	1163548.0
21.0	1059487.0
22.0	989746.0
23.0	995753.0
24.0	993949.0
25.0	992611.0
26.0	987916.0
27.0	939676.0
28.0	944077.0
29.0	904062.0
30.0	1195964.0
31.0	1011978.0
32.0	981358.0
33.0	1003397.0
34.0	1022214.0
35.0	1011362.0
36.0	1042602.0
37.0	1097061.0
38.0	1107527.0
39.0	1135107.0
40.0	1270437.0
41.0	1215469.0
42.0	1205766.0
43.0	1304672.0
44.0	1265975.0
45.0	1456894.0
46.0	1465194.0
47.0	1427099.0
48.0	1707191.0
49.0	1786735.0
50.0	2068259.0
51.0	2268754.0
52.0	2622234.0
53.0	3266219.0
54.0	4733762.0
55.0	7660319.0
56.0	1.2972749E7
57.0	1.8229049E7
58.0	2.4261246E7
59.0	3.6958532E7
60.0	2.681831758E9
