#Position (bp)	mapping quality
3882144.5	54.94965300401385
1.16464325E7	56.91671235055238
1.94107205E7	57.25610173636188
2.71750085E7	58.22317763956593
3.49392965E7	58.21304738921555
4.27035845E7	58.2627380539709
5.04678725E7	58.24230560664374
5.82321605E7	58.22445905581314
6.59964485E7	58.26948452776552
7.37607365E7	58.20191936993619
8.15250245E7	58.12949259640399
8.92893125E7	58.220951893207506
9.70536005E7	58.235112937420816
1.048178885E8	56.600523504466715
1.125821765E8	58.17006450830183
1.203464645E8	22.754957133377033
1.281107525E8	11.32558823198063
1.358750405E8	0.0
1.436393285E8	31.649866071407327
1.514036165E8	52.392836851730905
1.591679045E8	57.41793537511177
1.669321925E8	58.2106448814284
1.746964805E8	58.21488002723906
1.824607685E8	58.21216185511402
1.902250565E8	58.226836541131874
1.979893445E8	58.19185642451706
2.057536325E8	57.660104899897675
2.135179205E8	58.20676973258543
2.212822085E8	58.13853745102381
2.290464965E8	56.999942411923946
2.368107845E8	58.12271943596344
2.445750725E8	58.11696485910892
2.487068195E8	53.05012481330466
2.525889635E8	57.97158008378516
2.601036485E8	58.17631909733969
2.678679365E8	58.14165581088986
2.756322245E8	58.2315894472044
2.833965125E8	57.599960171305405
2.911608005E8	58.24909952807785
2.989250885E8	58.22923047179569
3.066893765E8	58.279700643219066
3.144536645E8	58.26226921227149
3.222179525E8	58.18627874486322
3.299822405E8	58.187476058806816
3.377465285E8	39.850460650524354
3.455108165E8	53.302372932714135
3.532751045E8	57.809402771835956
3.610393925E8	52.131736413458576
3.688036805E8	58.167774357678184
3.765679685E8	56.355143757482566
3.843322565E8	57.981996770134735
3.920965445E8	58.25340787916724
3.998608325E8	58.20806565144126
4.076251205E8	58.17796996394023
4.153894085E8	58.16473786444357
4.231536965E8	58.205081334438795
4.309179845E8	58.24062696696365
4.386822725E8	58.21238229714953
4.464465605E8	58.23751057339926
4.542108485E8	58.29713493312167
4.619751365E8	58.24129401315786
4.697394245E8	58.16210469796253
4.775037125E8	58.180532122862026
4.852680005E8	58.03110850829085
4.90150048E8	57.115804544463806
4.94032192E8	58.125639907050974
5.007965765E8	58.21800725588325
5.085608645E8	58.226988647210554
5.163251525E8	58.18661867299954
5.240894405E8	58.23188239773388
5.318537285E8	58.175076940942674
5.396180165E8	58.32150211045343
5.473823045E8	58.26526231520473
5.551465925E8	58.247792748594904
5.629108805E8	58.13232201783783
5.706751685E8	58.01168482754609
5.784394565E8	53.88741041902417
5.862037445E8	44.10805593523165
5.939680325E8	58.17984157713248
6.017323205E8	58.25102464114305
6.094966085E8	58.18220291461839
6.172608965E8	58.042357594341055
6.250251845E8	58.11811919967538
6.327894725E8	58.22143555974656
6.405537605E8	58.23890117294711
6.483180485E8	58.24522848065372
6.560823365E8	58.20983565995949
6.638466245E8	58.26019509443744
6.716109125E8	58.29099228839271
6.793752005E8	58.06996051011105
