#Duplication rate	Coverage
1.0	1.1533128E7
2.0	328123.0
3.0	15088.0
4.0	6277.0
5.0	3234.0
6.0	2025.0
7.0	1323.0
8.0	992.0
9.0	718.0
10.0	571.0
11.0	468.0
12.0	358.0
13.0	293.0
14.0	263.0
15.0	209.0
16.0	201.0
17.0	177.0
18.0	210.0
19.0	127.0
20.0	135.0
21.0	123.0
22.0	102.0
23.0	88.0
24.0	89.0
25.0	57.0
26.0	64.0
27.0	57.0
28.0	66.0
29.0	55.0
30.0	39.0
31.0	39.0
32.0	37.0
33.0	27.0
34.0	28.0
35.0	29.0
36.0	23.0
37.0	20.0
38.0	24.0
39.0	14.0
40.0	18.0
41.0	21.0
42.0	17.0
43.0	20.0
44.0	17.0
45.0	9.0
46.0	18.0
47.0	16.0
48.0	10.0
49.0	22.0
50.0	436.0
