#Coverage (X)	Coverage
1.0	93.68232703194381
2.0	93.51339137965213
3.0	93.39096710946403
4.0	93.2851260411973
5.0	93.19028842923831
6.0	93.10315239308868
7.0	93.01877723481293
8.0	92.9389534921414
9.0	92.8588937329696
10.0	92.77925587341623
11.0	92.69791357546698
12.0	92.61111266342851
13.0	92.51700535027479
14.0	92.40767107681057
15.0	92.27241968011796
16.0	92.09659543709404
17.0	91.85349090732089
18.0	91.50574857484922
19.0	91.00325991496149
20.0	90.28345788719898
21.0	89.27162060133911
22.0	87.89361743196079
23.0	86.07124316864609
24.0	83.72688879218023
25.0	80.80858929716953
26.0	77.29197364555526
27.0	73.17890237505024
28.0	68.50418698568163
29.0	63.356962634533865
30.0	57.83731467834272
31.0	52.08584217115606
32.0	46.25238390711956
33.0	40.48681329398569
34.0	34.92468136958642
35.0	29.697006045013353
36.0	24.89602875072252
37.0	20.588961962992556
38.0	16.80738568771916
39.0	13.553923990482971
40.0	10.80888398292835
41.0	8.542057517141913
42.0	6.7053971074486896
43.0	5.24209284166389
44.0	4.0998306482438664
45.0	3.22002807634901
46.0	2.5520777467408067
47.0	2.0529561053296277
48.0	1.6832775041990544
49.0	1.4126365139763095
50.0	1.2153988770476047
51.0	1.071474823831906
