#Mapping quality	mapping quality
0.0	6153025.0
1.0	3.2378077E7
2.0	7012093.0
3.0	4666602.0
4.0	3375286.0
5.0	2726687.0
6.0	2447037.0
7.0	2065509.0
8.0	1893870.0
9.0	1712668.0
10.0	1581200.0
11.0	1457173.0
12.0	1529359.0
13.0	1444003.0
14.0	1316019.0
15.0	1371698.0
16.0	1246785.0
17.0	1217371.0
18.0	1147937.0
19.0	1087954.0
20.0	1108675.0
21.0	991604.0
22.0	979498.0
23.0	944846.0
24.0	988185.0
25.0	977345.0
26.0	981463.0
27.0	963657.0
28.0	921284.0
29.0	899512.0
30.0	1224496.0
31.0	1002528.0
32.0	976937.0
33.0	1043787.0
34.0	1024004.0
35.0	1044618.0
36.0	1082696.0
37.0	1043075.0
38.0	1101504.0
39.0	1091172.0
40.0	1196210.0
41.0	1183234.0
42.0	1245438.0
43.0	1301088.0
44.0	1349769.0
45.0	1506894.0
46.0	1499974.0
47.0	1504205.0
48.0	1830383.0
49.0	1801236.0
50.0	2157914.0
51.0	2396783.0
52.0	2763581.0
53.0	3302384.0
54.0	4349233.0
55.0	6348829.0
56.0	1.1780388E7
57.0	2.0665563E7
58.0	2.7950579E7
59.0	4.3497095E7
60.0	2.68897003E9
