#Mapping quality	mapping quality
0.0	3641390.0
1.0	4.4067823E7
2.0	4733422.0
3.0	2606538.0
4.0	2099078.0
5.0	1834892.0
6.0	1743015.0
7.0	1511431.0
8.0	1489105.0
9.0	1508946.0
10.0	1381561.0
11.0	1200198.0
12.0	1127767.0
13.0	1146846.0
14.0	1059380.0
15.0	1148084.0
16.0	1103100.0
17.0	1109988.0
18.0	1105273.0
19.0	989114.0
20.0	998388.0
21.0	955035.0
22.0	906342.0
23.0	986580.0
24.0	925912.0
25.0	855866.0
26.0	870224.0
27.0	845174.0
28.0	835451.0
29.0	820258.0
30.0	905427.0
31.0	813573.0
32.0	832623.0
33.0	803238.0
34.0	856780.0
35.0	868506.0
36.0	841475.0
37.0	870338.0
38.0	900581.0
39.0	959584.0
40.0	956464.0
41.0	954042.0
42.0	993969.0
43.0	1073506.0
44.0	1085264.0
45.0	1201876.0
46.0	1204600.0
47.0	1227171.0
48.0	1319158.0
49.0	1429599.0
50.0	1482062.0
51.0	1703758.0
52.0	2013699.0
53.0	2270996.0
54.0	3004928.0
55.0	5109320.0
56.0	1.1937304E7
57.0	4.1676241E7
58.0	1.94113691E8
59.0	2.30318678E8
60.0	2.311615591E9
