#Coverage (X)	Coverage
1.0	94.4137003723577
2.0	94.27991198817843
3.0	94.16763217727292
4.0	94.07069079859114
5.0	93.97886772589608
6.0	93.88688607458386
7.0	93.78733177107304
8.0	93.66910521372579
9.0	93.51506394133105
10.0	93.30959905255159
11.0	93.03484873493045
12.0	92.67805914621344
13.0	92.23302089513032
14.0	91.69044610452083
15.0	91.05261073977668
16.0	90.3198624825036
17.0	89.50054607762323
18.0	88.57991670821863
19.0	87.53266822146975
20.0	86.32703044593502
21.0	84.91838641026033
22.0	83.23776710226814
23.0	81.24037382111895
24.0	78.8576023015541
25.0	76.0405262264718
26.0	72.76422875758195
27.0	69.01658701843377
28.0	64.8159263862256
29.0	60.22483054814614
30.0	55.32643272625941
31.0	50.20784583804558
32.0	44.994949654207865
33.0	39.799434620573884
34.0	34.713638570519436
35.0	29.839762219036515
36.0	25.298728185355102
37.0	21.16470985477524
38.0	17.475631182846854
39.0	14.257350272573916
40.0	11.5076145992212
41.0	9.20032965690001
42.0	7.2984440749386295
43.0	5.760219027536721
44.0	4.541434843148721
45.0	3.5904994417705893
46.0	2.862160829208051
47.0	2.314100345399268
48.0	1.904958594071772
49.0	1.6036332693022786
50.0	1.381859994540008
51.0	1.220383494015337
