#Duplication rate	Coverage
1.0	6949701.0
2.0	45345.0
3.0	11831.0
4.0	5641.0
5.0	3444.0
6.0	2176.0
7.0	1448.0
8.0	1114.0
9.0	878.0
10.0	687.0
11.0	534.0
12.0	434.0
13.0	410.0
14.0	348.0
15.0	298.0
16.0	258.0
17.0	208.0
18.0	193.0
19.0	153.0
20.0	158.0
21.0	126.0
22.0	121.0
23.0	105.0
24.0	103.0
25.0	97.0
26.0	80.0
27.0	82.0
28.0	73.0
29.0	66.0
30.0	68.0
31.0	66.0
32.0	55.0
33.0	42.0
34.0	55.0
35.0	42.0
36.0	20.0
37.0	28.0
38.0	39.0
39.0	28.0
40.0	28.0
41.0	16.0
42.0	29.0
43.0	24.0
44.0	20.0
45.0	16.0
46.0	24.0
47.0	14.0
48.0	16.0
49.0	20.0
50.0	1039.0
